rank_type,player,ridge_rapm,lasso_rapm,elastic_rapm,games_played,avg_minutes,ridge_percentile
Bottom 25,Chauncey Hawkins,-0.0017538742258833037,-0.0016467861437580614,-0.0010536272103763517,120,24.825,0.3837953091684435
Bottom 25,Darius Beane,-0.0017511976207436717,-0.002552710141634919,-0.002208787886246708,134,24.044776119402986,0.42643923240938164
Bottom 25,Abu Kigab,-0.0017188793207700119,-5.539215863694864e-4,0,125,21.872,0.4690831556503198
Bottom 25,Rob Higgins,-0.0017001935282307359,-0.001630557468673389,-0.0013654393798383036,116,30.612068965517242,0.511727078891258
Bottom 25,Bernie Andre,-0.0016955176919941006,-5.518922792310441e-4,-1.7997817158332826e-4,93,26.301075268817204,0.5543710021321961
Bottom 25,Paul Bruns,-0.0016868653906395377,-0.00318797074342784,-0.00300115767970818,94,27.48936170212766,0.5970149253731344
Bottom 25,Sy Chatman,-0.001658554873824919,-0.002437958973710541,-0.00219716214172949,91,22.86813186813187,0.6396588486140725
Bottom 25,Zacchaeus Sellers,-0.0016508046347740426,-0.002210636518675797,-0.0012825689250377907,88,28.738636363636363,0.6823027718550106
Bottom 25,Ian DuBose,-0.0016328613704750243,-0.002290323606981289,-0.0018808333573217698,101,30,0.7249466950959489
Bottom 25,Joel Soriano,-0.0015976390642407157,-0.0017939107794914474,-0.0016937785135690364,140,24.757142857142856,0.767590618336887
Bottom 25,Mike James,-0.0015656966881521252,-0.005128463141641341,-0.004944741650179504,64,32.078125,0.810234541577825
Bottom 25,Jermaine Jackson Jr.,-0.0015576868811908757,-0.0028661571720731663,-0.0025822664164574034,88,29.568181818181817,0.8528784648187633
Bottom 25,Tyson Batiste,-0.0015043113962456534,-2.527822665828321e-4,-3.931630752299474e-5,86,25.1046511627907,0.8955223880597015
Bottom 25,Marcus Shaver Jr.,-0.0014850396987340412,-0.0016107615920557072,-0.0014036345036805137,152,30.82236842105263,0.9381663113006397
Bottom 25,Noah Williams,-0.0014681046480746777,-0.0012661499467937355,-9.240396226892277e-4,105,25.60952380952381,0.9808102345415779
Bottom 25,KJ Feagin,-0.0014632992044116553,-0.004260971252103084,-0.003892548642797773,65,32.44615384615385,1.023454157782516
